"CategoryID"	"ProductID"
"Swim Flash Sale 3.19"	"0500048970222"
"Swim Flash Sale 3.19"	"0500048970438"
"Swim Flash Sale 3.19"	"0500048970271"
"Swim Flash Sale 3.19"	"0500048970388"
"Swim Flash Sale 3.19"	"0500048970545"
"Swim Flash Sale 3.19"	"0500048970594"
"Swim Flash Sale 3.19"	"0500048970644"
"Swim Flash Sale 3.19"	"0500048970735"
"Swim Flash Sale 3.19"	"0500048970875"
"Swim Flash Sale 3.19"	"0500048970784"
"Swim Flash Sale 3.19"	"0500048970925"
"Swim Flash Sale 3.19"	"0500048971014"
"Swim Flash Sale 3.19"	"0500048971089"
"Swim Flash Sale 3.19"	"0500048971204"
"Swim Flash Sale 3.19"	"0500048971113"
"Swim Flash Sale 3.19"	"0500046138764"
"Swim Flash Sale 3.19"	"0500046139010"
"Swim Flash Sale 3.19"	"0500046139127"
"Swim Flash Sale 3.19"	"0500047352877"
"Swim Flash Sale 3.19"	"0500043564087"
"Swim Flash Sale 3.19"	"0500046138913"
"Swim Flash Sale 3.19"	"0500049747678"
"Swim Flash Sale 3.19"	"0500043563667"
"Swim Flash Sale 3.19"	"0500043563717"
"Swim Flash Sale 3.19"	"0500046139242"
"Swim Flash Sale 3.19"	"0500046138715"
"Swim Flash Sale 3.19"	"0500043874718"
"Swim Flash Sale 3.19"	"0500043874908"
"Swim Flash Sale 3.19"	"0500049747579"
"Swim Flash Sale 3.19"	"0500043875202"
"Swim Flash Sale 3.19"	"0500043874171"
"Swim Flash Sale 3.19"	"0500043563774"
"Swim Flash Sale 3.19"	"0500043875103"
"Swim Flash Sale 3.19"	"0500046138889"
"Swim Flash Sale 3.19"	"0500046138962"
"Swim Flash Sale 3.19"	"0500047697123"
"Swim Flash Sale 3.19"	"0500047697180"
"Swim Flash Sale 3.19"	"0500047896246"
"Swim Flash Sale 3.19"	"0500086841184"
"Swim Flash Sale 3.19"	"0500030898019"
"Swim Flash Sale 3.19"	"0500030493993"
"Swim Flash Sale 3.19"	"0500030494991"
"Swim Flash Sale 3.19"	"0500043564038"
"Swim Flash Sale 3.19"	"0500030897169"
"Swim Flash Sale 3.19"	"0500048834998"
"Swim Flash Sale 3.19"	"0500030494595"
"Swim Flash Sale 3.19"	"0500033410937"
"Swim Flash Sale 3.19"	"0500043874163"
"Swim Flash Sale 3.19"	"0500046854683"
"Swim Flash Sale 3.19"	"0500033411455"
"Swim Flash Sale 3.19"	"0500033411505"
"Swim Flash Sale 3.19"	"0500046139168"
"Swim Flash Sale 3.19"	"0500047352828"
"Swim Flash Sale 3.19"	"0500033410812"
"Swim Flash Sale 3.19"	"0500033411141"
"Swim Flash Sale 3.19"	"0500030494769"
"Swim Flash Sale 3.19"	"0500043564186"
"Swim Flash Sale 3.19"	"0500030494918"
"Swim Flash Sale 3.19"	"0500043875160"
"Swim Flash Sale 3.19"	"0500049747629"
"Swim Flash Sale 3.19"	"0500043563451"
"Swim Flash Sale 3.19"	"0500043563832"
"Swim Flash Sale 3.19"	"0500048823058"
"Swim Flash Sale 3.19"	"0500043875053"
"Swim Flash Sale 3.19"	"0500043874577"
"Swim Flash Sale 3.19"	"0500046287587"
"Swim Flash Sale 3.19"	"0500035096809"
"Swim Flash Sale 3.19"	"0500035096759"
"Swim Flash Sale 3.19"	"0500035098169"
"Swim Flash Sale 3.19"	"0500048973465"
"Swim Flash Sale 3.19"	"0500035190750"
"Swim Flash Sale 3.19"	"0500035190818"
"Swim Flash Sale 3.19"	"0500048973184"
"Swim Flash Sale 3.19"	"0500035190784"
"Swim Flash Sale 3.19"	"0500033401704"
"Swim Flash Sale 3.19"	"0500033401951"
"Swim Flash Sale 3.19"	"0500033401837"
"Swim Flash Sale 3.19"	"0500048973341"
"Swim Flash Sale 3.19"	"0500033402033"
"Swim Flash Sale 3.19"	"0500035190727"
"Swim Flash Sale 3.19"	"0500048973242"
"Swim Flash Sale 3.19"	"0500048973408"
"Swim Flash Sale 3.19"	"0500048973218"
"Swim Flash Sale 3.19"	"0500048973317"
"Swim Flash Sale 3.19"	"0500048973432"
"Swim Flash Sale 3.19"	"0500048973127"
"Swim Flash Sale 3.19"	"0500048973150"
"Swim Flash Sale 3.19"	"0500048973374"
"Swim Flash Sale 3.19"	"0500033401738"
"Swim Flash Sale 3.19"	"0500035190859"
"Swim Flash Sale 3.19"	"0500033401563"
"Swim Flash Sale 3.19"	"0500033401670"
"Swim Flash Sale 3.19"	"0500049257389"
"Swim Flash Sale 3.19"	"0500049258304"
"Swim Flash Sale 3.19"	"0500049259062"
"Swim Flash Sale 3.19"	"0500049259112"
"Swim Flash Sale 3.19"	"0500033198896"
"Swim Flash Sale 3.19"	"0500049258965"
"Swim Flash Sale 3.19"	"0500049259013"
"Swim Flash Sale 3.19"	"0500049258916"
"Swim Flash Sale 3.19"	"0500033208026"
"Swim Flash Sale 3.19"	"0500033218793"
"Swim Flash Sale 3.19"	"0500049257918"
"Swim Flash Sale 3.19"	"0500033206806"
"Swim Flash Sale 3.19"	"0500019584929"
"Swim Flash Sale 3.19"	"0500049252612"
"Swim Flash Sale 3.19"	"0500049258866"
"Swim Flash Sale 3.19"	"0500019584960"
"Swim Flash Sale 3.19"	"0500049259211"
"Swim Flash Sale 3.19"	"0500049259294"
"Swim Flash Sale 3.19"	"0500049259377"
"Swim Flash Sale 3.19"	"0500049258791"
"Swim Flash Sale 3.19"	"0500049259161"
"Swim Flash Sale 3.19"	"0500049255565"
"Swim Flash Sale 3.19"	"0500049257165"
"Swim Flash Sale 3.19"	"0500049256530"
"Swim Flash Sale 3.19"	"0500089390603"
"Swim Flash Sale 3.19"	"0500049258619"
"Swim Flash Sale 3.19"	"0500049259468"
"Swim Flash Sale 3.19"	"0500049252901"
"Swim Flash Sale 3.19"	"0500035281443"
"Swim Flash Sale 3.19"	"0500035278019"
"Swim Flash Sale 3.19"	"0500035277532"
"Swim Flash Sale 3.19"	"0500035280080"
"Swim Flash Sale 3.19"	"0500086856666"
"Swim Flash Sale 3.19"	"0500086856782"
"Swim Flash Sale 3.19"	"0500035278431"
"Swim Flash Sale 3.19"	"0500035281393"
"Swim Flash Sale 3.19"	"0500035293026"
"Swim Flash Sale 3.19"	"0500035291962"
"Swim Flash Sale 3.19"	"0500035292473"
"Swim Flash Sale 3.19"	"0500035279074"
"Swim Flash Sale 3.19"	"0500035292879"
"Swim Flash Sale 3.19"	"0500048887095"
"Swim Flash Sale 3.19"	"0500048886857"
"Swim Flash Sale 3.19"	"0500048886816"
"Swim Flash Sale 3.19"	"0500048886899"
"Swim Flash Sale 3.19"	"0500049784721"
"Swim Flash Sale 3.19"	"0500048886972"
"Swim Flash Sale 3.19"	"0500049784853"
"Swim Flash Sale 3.19"	"0500048887053"
"Swim Flash Sale 3.19"	"0500048886774"
"Swim Flash Sale 3.19"	"0500033408758"
"Swim Flash Sale 3.19"	"0500033408790"
"Swim Flash Sale 3.19"	"0500033408832"
"Swim Flash Sale 3.19"	"0500033408956"
"Swim Flash Sale 3.19"	"0500045454048"
"Swim Flash Sale 3.19"	"0500033408675"
"Swim Flash Sale 3.19"	"0500033408873"
"Swim Flash Sale 3.19"	"0500033408717"
"Swim Flash Sale 3.19"	"0500033408915"
"Swim Flash Sale 3.19"	"0500033408634"
"Swim Flash Sale 3.19"	"0500049784895"
"Swim Flash Sale 3.19"	"0500049784937"
"Swim Flash Sale 3.19"	"0500049784762"
"Swim Flash Sale 3.19"	"0500048887012"
"Swim Flash Sale 3.19"	"0500049784689"
"Swim Flash Sale 3.19"	"0500048886931"
"Swim Flash Sale 3.19"	"0500045454592"
"Swim Flash Sale 3.19"	"0500045454436"
